Titre;Prix;Lien;Source;Annonce-Detectee;Annonce-Deposee;Marque;Modèle;Année;Kilométrage;Boite_Vitesse;Energie;Localisation;Puissance_Fiscale;Etat_Vehicule;Statut;Description;Options;Nb_Options;Transmission;Date_Reference_Annonce;Age_Annonce_Jours
BMW f10 520d an 2015 toute options;72000.0;https://www.tayara.tn/item/voitures/la-manouba/la-manouba/bmw-f10-520d-an-2015-toute-options/6a7072b16ef0e97a6c156966/;tayara.tn;2026-08-04;2026-08-03;Bmw;Serie 5;2015.0;221000.0;Automatique;Diesel;La Manouba;10.0;;;A vendre ou à échanger une Très belle BMW Série 5 F10 520d Diesel ⛽ 10 chevaux 2.0L Boîte automatique et toit  Toute option. voiture en très bon état comme neuf zéro dépenses à prévoir  ⏩ Boîte Auto Cobra  ⏩ Toit ouvrant  ⏩ LED et bi-xeno d'origine  ⏩ Feu et essuie glace auto ⏩ écran Central  ⏩ Radar avant et arrière avec Caméra ⏩ Bluetooth  ⏩ Limitateur et régulateur de vitesse  ⏩ Siège Sport électrique meémorisable  ⏩ Volon Cuir multifonction  ⏩ Jantes Alu  par 18 ⏩  Km :220.000 km Énergie : Diesel 10 chevaux 2.0L Modèle : Fin 2015 Prix  négociable dans les limites possible  Téléphone Afficher le numéro  Disponible à Manouba;;;;2026-08-03;11
Voiture a vendre;3000.0;https://www.tayara.tn/item/voitures/sfax/el-hencha/voiture-a-vendre/6a7074526ef0e97a6c156ab0/;tayara.tn;2026-08-04;2026-08-03;Ford;;;;Manuelle;Essence;Sfax;;;;Voiature en bon état;;;;2026-08-03;11
Golf 5 essence 1.4 belle voiture 🚗 numéro de téléphone ☎️ 📶 20 232 654;31000.0;https://www.tayara.tn/item/voitures/sfax/route-saltania/golf-5-essence-14-belle-voiture-numro-de-tlphone-20-232-654/6a70619e6ef0e97a6c155bf1/;tayara.tn;2026-08-04;2026-08-03;Volkswagen;Golf;2006.0;230000.0;Manuelle;Essence;Sfax;5.0;;;Golf 5 essence 1.4 ⛽️  Premier main ✋️ montage allemand Toutes option en très bonne état  Belle Belle voiture 🚗 🚗 🚗  Année 2006 5 cheveux essence ⛽️ 1.4  Klm 230000 4 Vitres électriques  Jantes aluminium original  Double clé d’origine 🔑  Salon cuir Disponible sfax Numéro de téléphone ☎️ 📶 Afficher le numéro Prix 31000 fixe;;;;2026-08-03;11
Renault Clio 2020 — 45 000 DT;45000.0;https://www.sayyaratn.com/annonce/eb6d0baa-dbfd-4545-9b8f-05ddc2e1c236;sayyaratn.com;2026-08-04;;Renault;Clio;2020.0;70000.0;Manuelle;Essence;;5.0;excellent;Active;;;;;2026-08-04;10
citroen AX;6800.0;https://www.tayara.tn/item/voitures/ben-arous/mohamedia/citroen-ax/6a704a586ef0e97a6c154d3c/;tayara.tn;2026-08-04;2026-08-03;Citroën;AX;1989.0;400000.0;Automatique;Essence;Ben Arous;5.0;;;voiture citroen AX ndhifa wra9ha 7alsa;;;;2026-08-03;11
OPEL Corsa swing b;12000.0;https://www.tayara.tn/item/voitures/bja/bja/opel-corsa-swing-b/6a70b1896ef0e97a6c159b4f/;tayara.tn;2026-08-04;2026-08-03;Opel;Corsa;1997.0;;Manuelle;Essence;Béja;4.0;;;voiture personnelle depuis 4 ans  visite technique jdida jusqu'au juillet 2027 عجلتين جدد AMINE  Afficher le numéro;;;;2026-08-03;11
a vendre belle voiture;16500.0;https://www.tayara.tn/item/voitures/ben-arous/ben-arous/a-vendre-belle-voiture/6a70b3daf1282c6658e2b81b/;tayara.tn;2026-08-04;2026-08-03;Volkswagen;Caddy;2012.0;200.0;Manuelle;Diesel;Ben Arous;8.0;;;cady SDI 1.9 L  voiture 1 ere main;;;;2026-08-03;11
Trés Rare Citroen LNA Découvrable;13000.0;https://www.tayara.tn/item/voitures/tozeur/tozeur/trs-rare-citroen-lna-dcouvrable/6a70b5f9f1282c6658e2b9bf/;tayara.tn;2026-08-04;2026-08-03;Citroën;;;;Manuelle;Essence;Tozeur;3.0;;;"Très rare Citroën LNA Découvrable voiture dite: "" de plage""  Très bon état carrosserie et Mécanique Sympathique et économique Moteur 2cv";;;;2026-08-03;11
chery tiggo 2024;43000.0;https://www.tayara.tn/item/voitures/sousse/sousse-riadh/chery-tiggo-2024/6a70c0f1f1282c6658e2c246/;tayara.tn;2026-08-04;2026-08-03;Chery;A1;2024.0;46000.0;Manuelle;Essence;Sousse;4.0;;;à vendre ma voiture  première main  model 2024 tt neuf  tt à l'origine  intérieur et extérieur  tt optiôn  sauf toie panoramique  4 chauveaux issence 1,2   fumé teintée d'origine  numéro Afficher le numéro;;;;2026-08-03;11
Nissan Navara 2010 — 46 000 DT;46000.0;https://www.sayyaratn.com/annonce/e4e69994-680a-4e7a-be64-5f89cefae80b;sayyaratn.com;2026-08-04;;Nissan;Navara;2010.0;268000.0;Manuelle;Diesel;;10.0;excellent;Active;;;;;2026-08-04;10
SKODA FABIA A VENDRE;36000.0;https://www.tayara.tn/item/voitures/tunis/tunis/skoda-fabia-a-vendre/6a70da96f1282c6658e2d39f/;tayara.tn;2026-08-04;2026-08-03;Škoda;Fabia;2016.0;120000.0;Manuelle;Essence;Tunis;4.0;;;Skoda fabia premier main ✋️ toutes option en très bonne état belle voiture 🚗 année 2016 4 cheveux essence ⛽️ kilométrage réel 136500;;;;2026-08-03;11
Audi A4 noire année 2010 en bon état. prix négociable;30000.0;https://www.tayara.tn/item/voitures/tozeur/autres-villes/audi-a4-noire-anne-2010-en-bon-tat-prix-ngociable/6a70de42f1282c6658e2d5f9/;tayara.tn;2026-08-04;2026-08-03;Audi;A4;2010.0;250000.0;Manuelle;Essence;Tozeur;7.0;;;À vendre : Audi A4 - Juillet 2010 • Motorisation: Essence, 7 chevaux fiscaux • Kilométrage: 250 000 km • État général: Bon état, entretien régulier • Prix: Légèrement négociable Voiture confortable, fiable et bien entretenue. Idéale pour un usage quotidien. Contactez-moi pour plus d'informations ou pour convenir d'un rendez-vous.;;;;2026-08-03;11
Voiture Kia Rio;46800.0;https://www.tayara.tn/item/voitures/ariana/les-jardins-el-menzah-2/voiture-kia-rio/6a70e2aff1282c6658e2d896/;tayara.tn;2026-08-04;2026-08-03;Kia;Rio;2020.0;100000.0;Manuelle;Essence;Ariana;5.0;;;Voiture en très bon état.;;;;2026-08-03;11
CITROËN C 3 PREMIÈRE MAIN TRÈS PROPRE BOÎTE MANUELLE;34500.0;https://www.tayara.tn/item/voitures/bizerte/zarzouna/citron-c-3-premire-main-trs-propre-bote-manuelle/6a70f7e8f1282c6658e2e51d/;tayara.tn;2026-08-04;2026-08-03;Citroën;C35;2020.0;79000.0;Automatique;Essence;Bizerte;4.0;;;Afficher le numéro   VOITURE CITROËN C 3 PREMIÈRE A LA   CARTE GRISE EN ÉTAT NEUF   VOITURE TRÈS PROPRE INTÉRIEUR ET   EXTÉRIEUR JAMAIS TOUCHÉE OU   RETOUCHÉE PEINTURE D'ORIGINE   ENTRETIENS RÉGULIERS CHEZ   CONCESSIONNAIRE   AVEC CARNET D'ENTRETIEN   CLIMATISEUR EN FONCTION   FERMETURE CENTRALISÉE   CONNECTIVITÉ AUX   BLOO TOUTH TÉLÉPHONE MAIN LIBRE   VISIBLE A BIZERTE;;;;2026-08-03;11
Mercedes A250e berline hybride;110000.0;https://www.tayara.tn/item/voitures/tunis/tunis/mercedes-a250e-berline-hybride/6a6b4e8d6ef0e97a6c12b486/;tayara.tn;2026-08-04;2026-07-31;Mercedes-Benz;Classe A;2021.0;52000.0;Automatique;Hybride essence;Tunis;8.0;;;Voiture importée de la maison de Mercedes d’Allemagne  Hybride rechargeable  Boîte automatique;;;;2026-07-31;14
Chery QQ 2021 comme neuve, 4 CV Essence – Seulement 5000 km;26000.0;https://www.tayara.tn/item/voitures/tunis/tunis/chery-qq-2021-comme-neuve-4-cv-essence-seulement-5000-km/6a60f7bb7b31d9554f42f476/;tayara.tn;2026-08-04;2026-07-23;Chery;QQ;2021.0;4766.0;Manuelle;Essence;Tunis;4.0;;;À vendre Chery QQ année 2021, état neuf / proche du neuf. Voiture très peu utilisée, kilométrage inférieur à 5 000 km.  🔹 Marque : Chery QQ 🔹 Année : 2021 🔹 Carburant : Essence 🔹 Cylindrée : 1.0 L (998 cm³) 🔹 Puissance fiscale : 4 CV 🔹 Carrosserie : Citadine 5 portes 🔹 Boîte manuelle 🔹 Kilométrage : moins de 5 000 km;;;;2026-07-23;22
Chery Tiggo 2;45000.0;https://www.tayara.tn/item/voitures/ariana/ariana/chery-tiggo-2/6a70e427f1282c6658e2d93c/;tayara.tn;2026-08-04;2026-08-03;Chery;Tiggo;2021.0;;Manuelle;Essence;Ariana;6.0;;;Voiture en excellent état, idéale pour un usage quotidien.   📞 Pour plus d’informations ou pour convenir d’une visite, merci de me contacter.;;;;2026-08-03;11
Voiture;21000.0;https://www.tayara.tn/item/voitures/monastir/moknine/voiture/6a711155f1282c6658e2f431/;tayara.tn;2026-08-04;2026-08-03;Citroën;Jumpy;;;Manuelle;Diesel;Monastir;;;;;;;;2026-08-03;11
BMW Serie 3  330e;150000.0;https://www.tayara.tn/item/voitures/gabs/gabs/bmw-serie-3-330e/6a7106c5f1282c6658e2ee22/;tayara.tn;2026-08-04;2026-08-03;Bmw;Serie 3;2022.0;140000.0;Automatique;Hybride essence;Gabès;10.0;;;BMW série 3 G20 330e 292 CH BVA 8 Finition : Luxury  Voiture très propre état impeccable sans aucun problème  . Entretien à jour BMW,  aucun frais à prévoir . Carrosserie très très propre  . Intérieur cuir et luxe . Double des clés .  Kilométrage : 140000km 10 CH Fiscaux  Carnet d’entretien (vidange.. etc ) disponible . Prix : 150000 DT négociable dans la limite du raisonnable .  Frais de douane à la charge de vendeur  # Annonce pour les sérieux # Numéro : Afficher le numéro;;;;2026-08-03;11
MAHINDRA K 8 KUV 100 PREMIÈRE MAIN BOÎTE MANUELLE;33000.0;https://www.tayara.tn/item/voitures/bizerte/bizerte/mahindra-k-8-kuv-100-premire-main-bote-manuelle/6a70fc076ef0e97a6c15cc82/;tayara.tn;2026-08-04;2026-08-03;Mahindra;Hover;2023.0;90000.0;Automatique;Essence;Bizerte;5.0;;;Afficher le numéro   TRES BELLE VOITURE MAHINDRA   K 8  KUV 100 BOÎTE MANUELLE   PREMIERE MAIN TRÈS PROPRE   VOITURE A L'ETAT ORIGINE JAMAIS   TOUCHÉE OU RETOUCHÉE PEINTURE DE   LA MAISON   MOTEUR 5 CV  1.2 TRÈS PROPRE    CLÉ INTELLIGENT ACCÈS À MAIN LIBRE   CIEGE AVANT RÉGLABLE EN HAUTEUR   VOLANT RÉGLABLE EN HAUTEUR   FEUX DE JOUR   JANTES EN ALUMINIUM ÉMOTION   CHROMÉ   RÉTROVISEURS EXTÉRIEURS   ÉLECTRIQUES ET RABATTABLE   ÉLECTRIQUEMENT   BLOO TOUTH TÉLÉPHONE A MAIN LIBRE   CONNECTIVITÉ AUX USB   ÉCRAN TACTILE 7 POUCES   4 VITRES ELECTRIQUES  VISIBLE A BORJ LOUZIR ARIANA;;;;2026-08-03;11
Wvw taigo;71500.0;https://www.tayara.tn/item/voitures/sousse/sahloul/wvw-taigo/6a70f97ef1282c6658e2e604/;tayara.tn;2026-08-04;2026-08-03;Volkswagen;T-Roc;2023.0;50000.0;Manuelle;Essence;Sousse;6.0;;;Taigo importe de almania  voiture tres propre trlphone Afficher le numéro;;;;2026-08-03;11
CITROËN C 3 PREMIÈRE MAIN TRÈS PROPRE BOÎTE MANUELLE;34500.0;https://www.tayara.tn/item/voitures/bizerte/zarzouna/citron-c-3-premire-main-trs-propre-bote-manuelle/6a7244a96ef0e97a6c1682a7/;tayara.tn;2026-08-05;2026-08-04;Citroën;C35;2020.0;79000.0;Automatique;Essence;Bizerte;4.0;;;Afficher le numéro   VOITURE CITROËN C 3 PREMIÈRE A LA   CARTE GRISE EN ÉTAT NEUF   VOITURE TRÈS PROPRE INTÉRIEUR ET   EXTÉRIEUR JAMAIS TOUCHÉE OU   RETOUCHÉE PEINTURE D'ORIGINE   ENTRETIENS RÉGULIERS CHEZ   CONCESSIONNAIRE   AVEC CARNET D'ENTRETIEN   CLIMATISEUR EN FONCTION   FERMETURE CENTRALISÉE   CONNECTIVITÉ AUX   BLOO TOUTH TÉLÉPHONE MAIN LIBRE   VISIBLE A BIZERTE;;;;2026-08-04;10
MAHINDRA KUV 100 K8 PREMIÈRE MAIN EN EXCELLENT ÉTAT BOÎTE MANUELLE;32000.0;https://www.tayara.tn/item/voitures/ariana/borj-louzir/mahindra-kuv-100-k8-premire-main-en-excellent-tat-bote-manuelle/6a72455cf1282c6658e39fdc/;tayara.tn;2026-08-05;2026-08-04;Mahindra;Hover;2023.0;90000.0;Automatique;Essence;Ariana;5.0;;;Afficher le numéro   TRES BELLE VOITURE MAHINDRA KUV 100  PREMIERE MAIN TRÈS PROPRE   VOITURE A L'ETAT ORIGINE JAMAIS  CLIMATISEUR CLIMATRONIC    TOUCHÉE OU RETOUCHÉE PEINTURE DE   LA MAISON   MOTEUR 5 CV  1.2 TRÈS PROPRE    CLÉ INTELLIGENT ACCÈS À MAIN LIBRE   CIEGE AVANT RÉGLABLE EN HAUTEUR   VOLANT RÉGLABLE EN HAUTEUR   FEUX DE JOUR   JANTES EN ALUMINIUM ÉMOTION   CHROMÉ   RÉTROVISEURS EXTÉRIEURS  ANTI DÉMARRAGE ÉLECTRONIQUE   BOÎTE A GANTS RÉFRIGÉRÉ   FEUX LED  ALARME ANTI - INTRUSION    ÉLECTRIQUES ET RABATTABLE   ÉLECTRIQUEMENT   BLOO TOUTH TÉLÉPHONE A MAIN LIBRE   CONNECTIVITÉ AUX USB   ÉCRAN TACTILE 7 POUCES   4 VITRES ELECTRIQUES  VISIBLE A BORJ LOUZIR ARIANA;;;;2026-08-04;10
Kit AMG;47500.0;https://www.tayara.tn/item/voitures/ariana/ariana-ville/kit-amg/6a725cd3f1282c6658e3ae78/;tayara.tn;2026-08-05;2026-08-04;Mercedes-Benz;Classe A;2013.0;180000.0;Manuelle;Essence;Ariana;6.0;;;Belle mercedes unique Kit AMG d'origine  voiture comme neuve  2013 180000km 6 cv essence  boîte manuelle  tel Afficher le numéro;;;;2026-08-04;10
SUZUKI CIAZ;27000.0;https://www.tayara.tn/item/voitures/ariana/ariana-essoughra/suzuki-ciaz/6a7259a2f1282c6658e3ac98/;tayara.tn;2026-08-05;2026-08-04;Suzuki;SX4;2018.0;263000.0;Manuelle;Essence;Ariana;5.0;;;Avendre SUZUKI CIAZ en bon état, tout les vitres d'origine , voiture spacieuse et tout options: Climatisé, 4 vitre Électrique, rétroviseurs électriques, radar de recul...;;;;2026-08-04;10
Peugeot 308 Active 1.6 e-HDi 8V FAP BMP6 S&S 112 cv;24000.0;https://www.automobile.tn/fr/occasion/peugeot/308/128977;automobile.tn;2026-08-05;2026-08-04;Peugeot;308;2013.0;443000.0;;Diesel;Ben Arous;5.0;;;Peugeot 308 en très bon état importée de EU, 1ère main, service régulier chez Peugeot, peu de kilométrage 59000km Tunis;;0.0;;2026-08-04;10
Hyundai Grand i10 Populaire 1.0 65cv populaire;46000.0;https://www.automobile.tn/fr/occasion/hyundai/grand-i10/128961;automobile.tn;2026-08-05;2026-08-04;Hyundai;Grand i10;2024.0;26351.0;;Essence;Ariana;4.0;;;Hyandai i10 populaire 2 ans exactement 6200 km seulement. Jamais touché en excellent état d'origine. Vente cause départ à l'étranger. Prix final 45 milles dinars. Disponible à Sousse. Téléphone ou WhatsApp 52110114 Merci Sousse;Alarme anti-intrusion;1.0;;2026-08-04;10
Audi A3 Sportback 1.9 TDi 105cv;23000.0;https://www.automobile.tn/fr/occasion/audi/a3-sportback/128951;automobile.tn;2026-08-05;2026-08-03;Audi;A3 Sportback;2004.0;500000.0;;Diesel;Ben Arous;6.0;;;Compacte, 5 cv, transmission Traction, Accoudoir avant, Autoradio, Autoradio CD, Autoradio CD/Mp3, Bluetooth, Vitres teintées, Volant/levier de vitesse en cuir, Volant multi-fonctions, 3 appuis têtes arrières, Volant réglable hauteur/profondeur Tunis;;0.0;;2026-08-03;11
MG HS Luxury 1.5 162 cv Boîte auto;52000.0;https://www.automobile.tn/fr/occasion/mg/hs/128952;automobile.tn;2026-08-05;2026-08-03;Mg;HS;2020.0;214000.0;Automatique;Essence;Tunis;10.0;;;SUV, 10 cv, transmission Traction, Accoudoir avant, Accoudoir arrière, Autoradio, Autoradio CD, Autoradio CD/Mp3, Apple Carplay, Bluetooth, Sièges chauffants, Sièges réglables en hauteur, Volant/levier de vitesse en cuir, Volant multi-fonctions, 3 appuis têtes arrières, Volant réglable hauteur/profondeur Bizerte;Android Auto | Apple Carplay | Sièges chauffants | Sièges électriques | Caméra de recul | Toit ouvrant | Toit panoramique | Accès sans clé;8.0;;2026-08-03;11
KIA Rio 5p SX 1.2 i-CVVT 16V 84 cv;43500.0;https://www.automobile.tn/fr/occasion/kia/rio-5p/128953;automobile.tn;2026-08-05;2026-08-03;Kia;Rio 5p;2020.0;130000.0;;Essence;Sousse;5.0;;;PRIX LEGEREMENT NEGOCIABLE. Tunis;Caméra de recul | Accès sans clé;2.0;;2026-08-03;11
Toyota C-HR 1.2 L 116 cv Boîte auto;78000.0;https://www.automobile.tn/fr/occasion/toyota/c-hr/128899;automobile.tn;2026-08-05;2026-08-04;Toyota;C-HR;2022.0;51000.0;Automatique;Essence;Tunis;6.0;;;;;0.0;;2026-08-04;10
Volkswagen Polo R-Line 1.0 i 12V 75 cv;59500.0;https://www.automobile.tn/fr/occasion/volkswagen/polo/128898;automobile.tn;2026-08-05;2026-08-04;Volkswagen;Polo;2021.0;50000.0;;Essence;Tunis;4.0;;;;;0.0;;2026-08-04;10
Honda HR-V LX Confort;60000.0;https://www.automobile.tn/fr/occasion/honda/hr-v/128955;automobile.tn;2026-08-05;2026-08-04;Honda;HR-V;2019.0;99000.0;;Essence;Ben Arous;7.0;;;"1ère main / Acheté de ""maison Honda"" (11/2019) 70 000 KM Très bien entretenue City conduite | court trajet Toute maintenance effectuée chez concessionaire ""Honda"" Modèle crossover Consommation mixte : 6,7 L/100 km ( city driving) Tunis";Sièges chauffants;1.0;;2026-08-04;10
Mercedes-Benz CLA 200 CDi 2.1 CDI 16V 136 cv;82000.0;https://www.automobile.tn/fr/occasion/mercedes-benz/cla/128956;automobile.tn;2026-08-05;2026-08-04;Mercedes-Benz;CLA;2015.0;90000.0;;Diesel;Bizerte;7.0;;;Berline, 7 cv, transmission Traction, Accoudoir avant, Sièges sport, Volant multi-fonctions Ariana;;0.0;;2026-08-04;10
Seat Ateca FR 1.4 L TSI 150 cv Boîte auto;88500.0;https://www.automobile.tn/fr/occasion/seat/ateca/128957;automobile.tn;2026-08-05;2026-08-04;Seat;Ateca;2023.0;97000.0;Automatique;Essence;Bizerte;8.0;;;;Android Auto | Apple Carplay | Navigation | Palettes au volant | Sièges chauffants | Caméras 360 | Coffre électrique | Toit ouvrant | Toit panoramique | Accès sans clé;10.0;;2026-08-04;10
Renault Clio Evolution 1.0 L TCe 100 100 cv;52000.0;https://www.automobile.tn/fr/occasion/renault/clio/128978;automobile.tn;2026-08-05;2026-08-04;Renault;Clio;2024.0;87000.0;;Essence;Ben Arous;6.0;;;18000dt en main reste 36 mensualités de 1570dt Ariana;Android Auto | Apple Carplay;2.0;;2026-08-04;10
KIA Rio 5p GX 1.2 i-CVVT 16V ISG 84 cv;58000.0;https://www.automobile.tn/fr/occasion/kia/rio-5p/128864;automobile.tn;2026-08-05;2026-08-04;Kia;Rio 5p;2021.0;50600.0;;Essence;Sousse;5.0;;;Très faible kilométrage 26000 (voiture d'une femme en retraite) 1ère main Très bon état - Bien entretenue Sousse;Android Auto | Apple Carplay | Caméra de recul;3.0;;2026-08-04;10
Citroën C3 Live 1.2 VTi PureTech 12V 82 cv;34500.0;https://www.automobile.tn/fr/occasion/citroen/c3/128887;automobile.tn;2026-08-05;2026-08-04;Citroën;C3;2019.0;79000.0;;Essence;Bizerte;4.0;;;voiture 1ère main jamais accidentée alarme antivol habillage intérieur complet fermeture à distance faible kilomètrage faible consommation clim en marche tous les entretiens chez le concessionnaire factures d'appuies La Manouba;;0.0;;2026-08-04;10
Mahindra KUV 100 K8 1.2 82cv;32000.0;https://www.automobile.tn/fr/occasion/mahindra/kuv-100/128954;automobile.tn;2026-08-05;2026-08-04;Mahindra;KUV100;2023.0;90000.0;;Essence;Ariana;5.0;;;SUV, 5 cv, transmission Traction, Autoradio, Autoradio CD, Autoradio CD/Mp3, Bluetooth, Boîte à gants réfrigérée, Connectivité Aux, usb, iPod, Navigation, Sièges réglables en hauteur Ariana;Alarme anti-intrusion | Accès sans clé;2.0;;2026-08-04;10
MG ZS Luxe 1.5 L 114 cv Boîte auto;51000.0;https://www.automobile.tn/fr/occasion/mg/zs/128809;automobile.tn;2026-08-05;2026-08-04;Mg;ZS;2019.0;157000.0;Automatique;Essence;Tunis;7.0;;;;Caméra de recul | Toit ouvrant;2.0;;2026-08-04;10
Volkswagen Golf 8 Style 1.5 eTSi 16V BMT DSG7 150 cv Boîte auto;85000.0;https://www.automobile.tn/fr/occasion/volkswagen/golf-8/128891;automobile.tn;2026-08-05;2026-08-04;Volkswagen;Golf 8;2020.0;139000.0;Automatique;Hybride léger essence;Ben Arous;8.0;;;Dispo à sfax aussi Gabès;Alarme anti-intrusion | Android Auto | Apple Carplay | Instrumentation numérique | Navigation | Palettes au volant | Sièges massants | Sièges électriques | Caméra de recul | Coffre électrique | Toit ouvrant | Toit panoramique | Accès sans clé | Conduite semi-autonome;14.0;;2026-08-04;10
Nissan Juke 1.6 L 4X2 117 cv;39000.0;https://www.automobile.tn/fr/occasion/nissan/juke/128897;automobile.tn;2026-08-05;2026-08-04;Nissan;Juke;2015.0;180000.0;;Essence;Ben Arous;6.0;;;Nissan juke Diesel 1.5 55 447 966 Tunis;Alarme anti-intrusion | Android Auto | Apple Carplay | Navigation | Sièges électriques | Caméra de recul | Caméras 360 | Toit ouvrant | Toit panoramique;9.0;;2026-08-04;10
MG ZS Luxe 1.5 L 114 cv Boîte auto;61000.0;https://www.automobile.tn/fr/occasion/mg/zs/128941;automobile.tn;2026-08-05;2026-08-04;Mg;ZS;2020.0;81000.0;Automatique;Essence;Ben Arous;7.0;;;En vente MG ZS 2020 état proche du neuf. 82.000km seulement. peinture entièrement d'origine. vitrage d'origine. entretien à jour. moteur 4 cylindre essence atmosphérique 7cv boite automatique. toit ouvrant. caméra de recul. LED avant et arrière intérieur cuir neuf. loccalisation sidi rzig ben arous. numéro 28489994 Ben Arous;Caméra de recul | Toit ouvrant;2.0;;2026-08-04;10
KIA Sportage EX 1.6 T-GDI 16V 265 PHEV 4x4 179 cv Boîte auto;155000.0;https://www.automobile.tn/fr/occasion/kia/sportage/128958;automobile.tn;2026-08-05;2026-08-04;Kia;Sportage;2026.0;8000.0;Automatique;Hybride rechargeable essence;Tunis;8.0;;;SUV, 10 cv, transmission Intégrale Ariana;Alarme anti-intrusion | Affichage tête haute | Android Auto | Apple Carplay | Instrumentation numérique | Navigation | Palettes au volant | Sièges chauffants | Sièges ventilés | Sièges électriques | Caméra de recul | Caméras 360 | Accès sans clé | Conduite semi-autonome | Suspension pneumatique;15.0;;2026-08-04;10
Suzuki Celerio Populaire 1.0 L 68 cv;31900.0;https://www.automobile.tn/fr/occasion/suzuki/celerio/128959;automobile.tn;2026-08-05;2026-08-04;Suzuki;Celerio;2019.0;40000.0;;Essence;Ben Arous;4.0;;;Suzuki Celerio populaire · Année : 2018 · Puissance fiscale : 4 cv (moteur 1.0 L essence) · Peinture d'origine · Kilométrage : 116 mille · Boîte : Manuelle · Prix : 30,500 · Très économique (consommation mixte 4,3 L/100 km) · Climatisée, radar de recul, vitres électriques + batterie neuve · Entretien courant à jour N° 24 27 53 73 Tunis;;0.0;;2026-08-04;10
Smart ForFour passion 1.0 i 12V S&S 71 cv;26500.0;https://www.automobile.tn/fr/occasion/smart/forfour/128960;automobile.tn;2026-08-05;2026-08-04;Smart;ForFour;2016.0;89000.0;;Essence;Ben Arous;4.0;;;;;0.0;;2026-08-04;10
Fiat fiorino 1ère main ✋️;25500.0;https://www.tayara.tn/item/voitures/tunis/tunis/fiat-fiorino-1re-main-/6a71b037f1282c6658e32bec/;tayara.tn;2026-08-05;2026-08-04;Fiat;Fiorino;2017.0;33.0;Automatique;Diesel;Tunis;5.0;;;a vendre ma voiture Fiat fiorino 1ère main très propre.  moteur à été remplacé   Afficher le numéro;;;;2026-08-04;10
Voiture;21000.0;https://www.tayara.tn/item/voitures/monastir/moknine/voiture/6a71b6646ef0e97a6c161495/;tayara.tn;2026-08-05;2026-08-04;Citroën;Jumpy;;;Manuelle;Diesel;Monastir;;;;Moteur mbaddel jdid  Prix négociable   Afficher le numéro;;;;2026-08-04;10
Renault Scenic 2 Diesel 1.5 DCI;11800.0;https://www.tayara.tn/item/voitures/tunis/tunis/renault-scenic-2-diesel-15-dci/6a71bde6f1282c6658e336f7/;tayara.tn;2026-08-05;2026-08-04;Renault;Scenic;2004.0;250000.0;Automatique;Diesel;Tunis;5.0;;;Voiture Spacieuse en trer bon etat. Tout Option . 4 vtr Elect Prix : 11800  Tl : Afficher le numéro;;;;2026-08-04;10
skouda fabia issence  ( 2021);39000.0;https://www.tayara.tn/item/voitures/sousse/sousse/skouda-fabia-issence-2021/6a71cb8b6ef0e97a6c162698/;tayara.tn;2026-08-05;2026-08-04;Škoda;Fabia;2021.0;140.0;Manuelle;Essence;Sousse;4.0;;;ma voiture  skouda à vendre  tt optiôn  propre jamais  accidenté  full option  Volant  multifonction  4 Vitres électriques  roues gent allu   climatisation  en march poste radio tactile caméra de  recul voiture  impeccable  puissante  et  économique  côté  tôlerie  et mécanique  intact  numéro  à  contactée    Afficher le numéro;;;;2026-08-04;10
chery tiggo 2024;43000.0;https://www.tayara.tn/item/voitures/sousse/sousse-riadh/chery-tiggo-2024/6a71cd27f1282c6658e34412/;tayara.tn;2026-08-05;2026-08-04;Chery;A1;2024.0;46000.0;Manuelle;Essence;Sousse;4.0;;;à vendre ma voiture  première main  model 2024 tt neuf  tt à l'origine  intérieur et extérieur  tt optiôn  sauf toie panoramique  4 chauveaux issence 1,2   fumé teintée d'origine  numéro Afficher le numéro;;;;2026-08-04;10
Fiat Tipo a vendre;43000.0;https://www.tayara.tn/item/voitures/tunis/tunis/fiat-tipo-a-vendre/6a719ad06ef0e97a6c160267/;tayara.tn;2026-08-05;2026-08-04;Fiat;Tipo;2021.0;80000.0;Manuelle;Essence;Tunis;5.0;;;je mets en vente une voiture Fiat Tipo 2. modèle 2021. prix 43000 légèrement négociable.;;;;2026-08-04;10
🚗 À vendre – Volkswagen Polo 5;16200.0;https://www.tayara.tn/item/voitures/tunis/ezzouhour/-vendre-volkswagen-polo-5/6a719a416ef0e97a6c160223/;tayara.tn;2026-08-05;2026-08-04;Volkswagen;Polo;2004.0;200.0;Manuelle;Essence;Tunis;;;;🚗 À vendre – Volkswagen Polo 5  Voiture en très bon état, propre intérieur et extérieur. Moteur fiable et économique, idéale pour la ville comme pour les longs trajets.  ✅ Entretien suivi régulièrement ✅ Climatisation ✅ Vitres électriques ✅ Fermeture centralisée ✅ Consommation faible ✅ Papiers en règle  Pour plus d’informations (année, kilométrage, prix…) ou pour voir la voiture, merci de me contacter en message privé ou par téléphone;;;;2026-08-04;10
